key,code,moment,startTime,endTime,amount,type,optionalEmail,optionalLink,draft-mode,key:sponsor,key:project
# Base
sponsorship-01,AAA-000,2022/07/30 00:00,2024/05/20 00:00,2024/06/20 00:00,EUR 100,INKIND,test@example.com,http://example.com,true,sponsor-01,project-01
# Code
sponsorship-02,B-000,2022/07/30 00:00,2024/05/20 00:00,2024/06/20 00:00,EUR 10000,INKIND,test@example.com,http://example.com,true,sponsor-01,project-01
sponsorship-03,AC-999,2022/07/30 00:00,2024/05/20 00:00,2024/06/20 00:00,GBP 100000,INKIND,test@example.com,http://example.com,true,sponsor-01,project-01
sponsorship-04,XYZ-089,2022/07/30 00:00,2024/05/20 00:00,2024/06/20 00:00,EUR 12344,FINANCIAL,test@example.com,http://example.com,true,sponsor-01,project-02
# Moment
sponsorship-05,ALO-001,2000/01/01 00:00,2024/05/20 00:00,2024/06/20 00:00,EUR 123456,INKIND,test@example.com,http://example.com,true,sponsor-01,project-01
sponsorship-06,ALO-002,2000/01/01 00:01,2024/05/20 00:00,2024/06/20 00:00,EUR 10,INKIND,test@example.com,http://example.com,true,sponsor-01,project-01
sponsorship-07,SAI-003,2022/07/29 23:59,2024/05/20 00:00,2024/06/20 00:00,EUR 302145,FINANCIAL,test@example.com,http://example.com,true,sponsor-01,project-01
sponsorship-08,SFC-004,2022/07/30 00:00,2024/05/20 00:00,2024/06/20 00:00,EUR 33333333.50,INKIND,test@example.com,http://example.com,true,sponsor-01,project-01
# StartTime and EndTime
sponsorship-09,VER-005,2022/07/30 00:00,2022/07/29 23:59,2024/06/20 00:00,EUR 132,INKIND,test@example.com,http://example.com,true,sponsor-01,project-01
sponsorship-10,ZOU-006,2022/07/30 00:00,2023/07/30 00:00,2024/06/20 00:00,EUR 100,INKIND,test@example.com,http://example.com,true,sponsor-02,project-01
sponsorship-11,BOT-007,2022/07/30 00:00,2024/05/20 00:00,2024/06/20 00:00,EUR 100,INKIND,test@example.com,http://example.com,true,sponsor-02,project-02
sponsorship-12,HAM-008,2022/07/30 00:00,2024/05/20 00:00,2024/06/20 00:01,EUR 342424234.50,INKIND,test@example.com,http://example.com,true,sponsor-02,project-02
sponsorship-13,PER-009,2022/07/30 00:00,2024/05/20 00:00,2024/07/20 00:00,EUR 1678,INKIND,test@example.com,http://example.com,true,sponsor-02,project-01
# Amount
sponsorship-14,LEC-010,2022/07/30 00:00,2024/05/20 00:00,2024/06/20 00:00,EUR 0.01,INKIND,test@example.com,http://example.com,true,sponsor-01,project-01
sponsorship-15,NOR-011,2022/07/30 00:00,2024/05/20 00:00,2024/06/20 00:00,GBP 0.02,FINANCIAL,test@example.com,http://example.com,true,sponsor-01,project-01
sponsorship-16,PIA-012,2022/07/30 00:00,2024/05/20 00:00,2024/06/20 00:00,USD 999999999999.99,INKIND,test@example.com,http://example.com,true,sponsor-01,project-01
sponsorship-17,GAS-013,2022/07/30 00:00,2024/05/20 00:00,2024/06/20 00:00,EUR 1000,INKIND,test@example.com,http://example.com,true,sponsor-01,project-01
sponsorship-18,STR-014,2022/07/30 00:00,2024/05/20 00:00,2024/06/20 00:00,USD 11000,INKIND,test@example.com,http://example.com,true,sponsor-01,project-01
# Type
sponsorship-19,LOB-015,2022/07/30 00:00,2024/05/20 00:00,2024/06/20 00:00,EUR 100,FINANCIAL,test@example.com,http://example.com,true,sponsor-01,project-01
# OptionalEmail
sponsorship-20,PUE-016,2022/07/30 00:00,2024/05/20 00:00,2024/06/20 00:00,EUR 100,INKIND,a@b.es,http://example.com,true,sponsor-01,project-01
sponsorship-21,NAV-017,2022/07/30 00:00,2024/05/20 00:00,2024/06/20 00:00,USD 1,INKIND,a@b.esx,http://example.com,true,sponsor-01,project-01
sponsorship-22,LIV-018,2022/07/30 00:00,2024/05/20 00:00,2024/06/20 00:00,EUR 100.00,INKIND,pableeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeteeeeeeeeeee@aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaacme.pepeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee.cooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooom,http://example.com,true,sponsor-01,project-01
sponsorship-23,ROM-019,2022/07/30 00:00,2024/05/20 00:00,2024/06/20 00:00,USD 100.50,INKIND,pableeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeteeeeeeeeeee@aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaacme.pepeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee.coooooooooooooooooooooooooooooooooooooooooooooooooooooooooooom,http://example.com,true,sponsor-01,project-01
sponsorship-24,RKO-020,2022/07/30 00:00,2024/05/20 00:00,2024/06/20 00:00,EUR 100,INKIND,null,http://example.com,true,sponsor-01,project-01
# OptionalLink
sponsorship-25,HHH-021,2022/07/30 00:00,2024/05/20 00:00,2024/06/20 00:00,EUR 100.33,INKIND,test@example.com,ftp://a,true,sponsor-01,project-01
sponsorship-26,BAT-022,2022/07/30 00:00,2024/05/20 00:00,2024/06/20 00:00,EUR 100.11,INKIND,test@example.com,ftp://a.b,true,sponsor-01,project-01
sponsorship-27,MIS-023,2022/07/30 00:00,2024/05/20 00:00,2024/06/20 00:00,GBP 100.01,INKIND,test@example.com,http://urlmuylargaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.com,true,sponsor-01,project-01
