key,code,timePeriodStart,timePeriodEnd,location,instructor,email,link,draftMode,key:trainingModule
training-session-01,TS-ALO-333,2000/1/12 10:00,2000/1/12 15:00,"Cantillana","José Antonio Reina Muñoz",jaremu@acme.com,http://www.trainingsession01.com,true,training-module-01
training-session-02,TS-BDO-444,2000/2/15 14:30,2000/2/15 17:30,"Puerto de Santa Cruz","Maria Lopez",marial@acme.com,http://www.trainingsession02.com,true,training-module-02
training-session-03,TS-CDF-555,2000/3/20 09:00,2000/3/20 11:00,"Granada","Carlos Ruiz",carlosr@acme.com,http://www.trainingsession03.com,false,training-module-03
training-session-04,TS-DEF-666,2000/4/25 13:45,2000/4/25 19:45,"Malaga","Laura Martinez",lauram@acme.com,http://www.trainingsession04.com,true,training-module-04
training-session-05,TS-EFG-777,2000/5/30 11:15,2000/5/30 13:15,"Madrid","Pedro Fernandez",pedrof@acme.com,http://www.trainingsession05.com,false,training-module-05
training-session-06,TS-GHI-888,2000/6/10 08:30,2000/6/10 09:30,"Barcelona","Pedro Sánchez",pedrosanxe@acme.com,http://www.trainingsession06.com,false,training-module-06
training-session-07,TS-IJK-999,2000/7/15 12:00,2000/7/15 17:00,"Valencia","Juan Martinez",juanm@acme.com,http://www.trainingsession07.com,true,training-module-07
training-session-08,TS-KLM-101,2000/8/20 15:30,2000/8/20 19:30,"Bilbao","Sofia Rodriguez",sofiar@acme.com,http://www.trainingsession08.com,false,training-module-08
training-session-09,TS-MNO-202,2000/9/25 10:45,2000/9/25 19:45,"Santander","Diego Fernandez",diegof@acme.com,http://www.trainingsession09.com,true,training-module-09
training-session-10,TS-OPQ-303,2000/10/30 13:15,2000/10/30 15:15,"Toledo","Elena Gomez",elenag@acme.com,http://www.trainingsession10.com,false,training-module-05
training-session-11,TS-QRS-404,2000/11/5 09:30,2000/11/5 19:30,"Zaragoza","Pablo Sanchez",pablos@acme.com,http://www.trainingsession11.com,true,training-module-01
training-session-12,TS-STU-505,2000/12/10 14:00,2000/12/10 16:00,"Salamanca","Carmen Rodriguez",carmenr@acme.com,http://www.trainingsession12.com,false,training-module-03
training-session-13,TS-TUV-606,2000/12/20 11:45,2000/12/20 13:45,"Valladolid","Luis Fernandez",luisf@acme.com,http://www.trainingsession13.com,true,training-module-07
training-session-14,TS-ALO-334,2022/07/04 17:00,2022/07/18 06:00,CantillanaCantillanaCantillanaCantillanaCantillanaCantillanaCantillanaCanti,"José Antonio",jaremu@acme.com,https://twitter.com/Pastora,false,training-module-01
training-session-15,TS-ALO-335,2022/07/22 23:59,2022/07/29 23:59,CantillanaCantillanaCantillanaCantillanaCantillanaCantillanaCantillanaCant,"José Antonio",jajaremu@acme.com,https://twitter.com/Cantillana,false,training-module-01
training-session-16,TS-AB-666,2022/07/22 23:58,2022/07/29 23:58,SevillaSevillaSevillaSevillaSevi,"Pepe Cancho",FredCohen@acme.com,https://twitter.com/NVIDIAGeForce,false,training-module-01
training-session-17,TS-AB-010,2022/07/04 20:00,2022/07/11 20:00,Sevilla,"Pepe Cancho",Pepe@acme.com,https://twitter.com/OpenAI,false,training-module-01
training-session-18,TS-AB-011,2000/01/07 00:00,2200/12/31 23:59,Sevilla,PepePepePepePepePepePepePepe,ペペ@acme.com,https://twitter.com/GoogleAI,true,training-module-01
training-session-19,TS-AB-012,2022/07/04 08:00,2022/07/18 23:00,Sevilla,Pe,PP@acme.com,http://ペペ.com,false,training-module-01
training-session-20,TS-AB-080,2022/07/04 09:33,2022/07/18 23:59,Sevilla,OliverOliverOliverOliverOliver,oliver@acme.com,https://twitter.com/atom,false,training-module-02
training-session-21,TS-AZ-014,2022/07/04 23:59,2022/07/11 23:59,Sevilla,P,p@acme.com,http://session3.com,false,training-module-01
training-session-22,TS-AVE-015,2022/07/04 22:00,2022/07/11 22:00,Roma,Caesaris,AvisCaesaris@acme.com,http://sessionAVE1.com,true,training-module-01
training-session-23,TS-AVE-016,2022/07/04 13:33,2022/07/11 13:33,Roma,CaesarisCaesarisCaesarisCaesarisCaesarisCaesarisCaesarisCaesarisCaesarisCae,Avis@acme.com,http://sessionAVE5sessionAVE5sessionAVE5sessionAVE5sessionAVE5sessionAVE5sessionAVE5sessionAVE5sessionAVE5sessionAVE5sessionAVE5sessionAVE5sessionAVE5sessionAVE5sessi.com,false,training-module-01
training-session-24,TS-AVE-017,2022/07/04 00:00,2022/07/12 00:00,Roma,CaesarisCae,Caesaris@acme.com,http://sessionAVE2.com,false,training-module-01
training-session-25,TS-Z-001,2011/01/04 00:00,2011/01/11 00:00,Sevilla,Laura,LauraLauraLauraLauraLauraLauraLauraLauraLauraLauraLauraLauraLau@acmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacmeacm.outlookoutlookoutlookoutlookoutlookoutlookoutlookoutlookoutloo.comcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcomcom,http://session2session2session2session2session2session2session2session2session2session2session2session2session2session2session2session2session2sessi.com,false,training-module-02
training-session-26,TS-ZZ-001,2012/01/01 23:59,2012/01/08 23:59,Фернандо,Москва,Фернандо@acme.com,http://Москва.com,true,training-module-03
training-session-27,TS-YY-264,2022/01/01 00:00,2022/01/08 00:00,საქართველოს,პედრო,პედრო@acme.com,http://session2.com,false,training-module-09
training-session-28,TS-Z-014,2022/07/04 23:59,2022/07/11 23:59,Sevilla,P,P@acme.com,http://session3pp.com,false,training-module-07
training-session-29,TS-ABE-113,2022/07/04 22:00,2022/07/11 22:00,A,B,C@acme.com,http://D.com,true,training-module-01
training-session-30,TS-ABC-900,2022/01/01 00:01,2022/07/11 22:00,Pe,SE,Pe@acme.com,http://se.com,false,training-module-09
training-session-31,TS-BZ-009,2000/01/07 00:00,2022/07/11 22:00,Pe,SE,Pe@acme.com,,false,training-module-02
training-session-32,TS-A-018,2022/07/04 22:00,2022/07/11 22:00,Рe,SE,Pe@acme.com,http://se.com,false,training-module-02
training-session-33,TS-AAA-010,2022/09/01 10:00,2022/09/08 10:00,L,Lorem ipsum,es-acme@lorem-ipsum.org,ftp://l.b,false,training-module-05
training-session-34,TS-AA-011,2022/08/05 23:59,2022/08/12 23:59,Lo,L,l@b.es,ftp://l.b,false,training-module-05
