key,enabled,identity,password,username
user-account-manager-01,true,"UserIdentity{name: 'Juanlo', surname: 'Manager', email: 'juanlo@acme.com'}",manager1,manager1
user-account-manager-02,true,"UserIdentity{name: 'Adolfo', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'adolfo@acme.com'}",manager2,manager2
<<<<<<< HEAD
user-account-developer1, true, "UserIdentity{name: 'IlloWan', surname: 'Uno', email: 'developer1@email.com'}",developer1,developer1
user-account-developer2, true, "UserIdentity{name: 'IlloTwo', surname: 'Dos', email: 'developer2@email.com'}",developer2,developer2
=======
user-account-sponsor-01,true,"UserIdentity{name: 'Pablo', surname: 'TheSponsor', email: 'pablo@acme.com'}",sponsor1,sponsor1
user-account-sponsor-02,true,"UserIdentity{name: 'Wilfred', surname: '万福玛利亚', email: 'wilfred@acme.com'}",sponsor2,sponsor2
user-account-auditor-01,true,"UserIdentity{name: 'David', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'david@acme.com'}",auditor1,auditor1
user-account-auditor-02,true,"UserIdentity{name: 'David', surname: 'Auditor', email: 'david@acme.com'}",auditor2,auditor2
>>>>>>> branch 'master' of https://github.com/juanlo017/c1.034.git
